qid,question_msa,gold_answer
wahm_233,اين يقغ مضيق باب المندب ؟,يصل البحر الأحمر بخليج عدن وبحر العرب
wahm_234,من هو كاتب قصة (بائعة الكبريت)؟,هانس كريستيان أندرسن
wahm_235,متى تأسست شركة الطائرات الأمريكية بوينغ؟,15 يوليو 1916
wahm_236,متى تم تأسيس أول دور عرض أزياء حول العالم؟,1911
wahm_237,أين يقع خليج غينيا؟,"الساحل جنوب الغربي لأفريقيا في المحيط الأطلسي, المحيط الأطلسي"
wahm_238,متى بني  جامع الزيتونة؟,"698, 698 (79 هـ)"
wahm_239,ماهي عاصمة منغوليا ؟,أولان باتور
wahm_240,ما هي الوان علم صربيا ؟,"الأحمر في الثلث الأعلى للعلم, ثم الأزرق, يتوسط العلم ثم اللون الأبيض في الأسفل"
wahm_241,أين يقع جبل المقطم؟,"الناحية الشرقية الفسطاط والقاهرة, شرق قلعة صلاح الدين الأيوبي"
wahm_242,متى شاركت  آيسلندا في كأس أوروبا  لكرة القدم لأول مرة؟,2016
wahm_243,ما هي تفاعلات الأكسدة؟,تفاعلات كيميائية يحدث فيها تغير في عدد أكسدة ذرات المواد المتفاعلة نتيجة انتقال الإلكترونات فيما بينها
wahm_244,ماهي جنسية المؤلف الموسيقي تشايكوفسكي؟,روسي
wahm_245,متى حصلت دولة الإمارات على استقلالها ؟,2 ديسمبر 1971
wahm_246,ما هو الكائن اللاهوائي وكم نوع له؟,الكائن الذي لا يستخدم الأوكسجين للنمو
wahm_247,أين تقع مدينة تل جوخة ؟,مدينة عراقية
wahm_248,ما هو الفيتو؟,حق الاعتراض على أي قرار يقدم لمجلس الأمن دون إبداء أسباب، ويمنح للأعضاء الخمس دائمي العضوية في مجلس الأمن
wahm_249,ما هي المَشِيمَة أو الخَلاَص أو السُخْد؟,"عضو دائري مسطح الشكل يتصل بالجنين عن طريق الحبل السري في الرحم، وتخرج المشيمة من رحم الأم بعد المرحلة الثالثة من الولادة, عضو دائري مسطح الشكل يتصل بالجنين عن طريق الحبل السري في الرحم"
wahm_250,ما هو تصريح 28 فبراير 1922 ؟,"تصريح اعلنته بريطانيا من طرف واحد في لندن والقاهرة في هذا التاريخ, تصريح اعلنته بريطانيا من طرف واحد في لندن والقاهرة في هذا التاريخ.[1][2] اعلنت فيه انهاء الحماية البريطانية على مصر"
wahm_251,ما هو تعريف المؤسسة؟,"استقرار وقيمة وانماط متكرره من السلوك كهياكل أو الات النظام الاجتماعي فهي تتحكم في سلوك مجموعة من الافراد داخل مجتمع معين, استقرار وقيمة وانماط متكرره من السلوك كهياكل أو الات النظام الاجتماعي"
wahm_252,من هو قبريانوس القرطاجي؟,كان أسقف قرطاج (منذ عام 249 م) وأبًا وكاتبًا مسيحيًّا
wahm_253,ماهى الأورام الدبقية ؟,أكثر أورام المخ شيوعاً والأكثر عدوانيةً مقارنةً بباقي أورام المخ التي تصيب الإنسان
wahm_254,متى تاسست محطة الفضاء الدولية ؟,20 نوفمبر 1998
wahm_255,ما هو الكرينولين؟,هيكل قاسٍ يُلبَس تحت التنورة ليعطيها شكل منتفخ، وكان دارج الاستعمال في أوروبا منذ القرن السادس عشر إلى منتصف القرن التاسع عشر
wahm_256,ما هي السفسطة أو السفسطائية؟,"مذهب فكري فلسفي, مذهب فكري فلسفي نشأ في اليونان إبان نهاية القرن السادس وبداية القرن الخامس ق.م في بلاد الإغريق"
wahm_257,ما هو النظام التماثلي؟,"طريقه مستخدمه لنقل المعلومات، حيث تكون فيها المعلومات عبارة عن كميات مادية متماثلة ومتتالية ومستمرة ويمكن لقيمتها أن تتغير, طريقه مستخدمه لنقل المعلومات، حيث تكون فيها المعلومات عبارة عن كميات مادية متماثلة ومتتالية ومستمرة ويمكن لقيمتها أن تتغير، و يسمح أن تكون الإشارة كاملة القيمة أو تساوي صفر أو أية قيمة بين هذه وتلك"
wahm_258,ما هو حمض الغاما-أمينوبيوتيريك؟,الناقل العصبي المثبط الرئيسي في الجهاز العصبي المركزي في الثدييات
wahm_259,متى تبنت الأمم المتحدة الإعلان العالمي لحقوق الإنسان؟,"ة 10 ديسمبر 1948, 10 ديسمبر 1948"
wahm_260,كم يبلغ طول نهر الاردن؟,251 كم
wahm_261,متى انتهت حرب البلقان الأولى؟,30 مايو 1913
wahm_262,من كتب كتاب المعادلة التونسية في سنة 2014؟,"حمد الصافي سعيد, الروائي التونسي أحمد الصافي سعيد"
wahm_263,متى ترشحت  الجزائر للدور الثاني في كأس العالم لكرة القدم أول مرة ؟,2014
wahm_264,كم دامت رئاسة إلوي ألفارو لجمهورية الإكوادور ؟,1897-1901 و1906-1911
wahm_265,كم عدد جزر نيوزيلاندا؟,600
wahm_266,من هو جيمس مونرو؟,"خامس رؤساء الولايات المتحدة, خامس رؤساء الولايات المتحدة من 1817 إلى 1825 ورجل دولة وأحد الآباء المؤسسون"
wahm_267,من هو إلياس بن مضر؟,الجد السادس عشر للرسول محمد بن عبد الله، وزوج خندف جدة القبائل الخندفية
wahm_268,أين تقع كاتدرائية شارتر؟,"جنوب غرب باريس, بفرنسا"
wahm_269,ما هو مقياس الإشعاع؟,جهاز يستخدم لقياس شدة الإشعاع الكهرومغناطيسي مثل الضوء
wahm_270,متى تاسس نادي ليون الفرنسي؟,1950
wahm_271,كم تبلغ سماكة القشرة المخية؟,هام التي تؤ
wahm_272,ما هو خفاش الفاكهة المصري؟,نوع من خفافيش فاكهة العالم القديم من فصيلة الخفافيش الكبيرة (خفافيش الفاكهة) من رتبة الخفاشيات
wahm_273,كم يبلغ طول الحدود الأردنية مع اسرائيل؟,238 كيلومترًا
wahm_274,ما هي اقدم المدن المغربية؟,فاس
wahm_275,كم تبلغ مساحة رومانيا؟,"238,391 كم مربع"
wahm_276,من هو النبي سليمان ؟,هو أحد ملوك مملكة إسرائيل حسب الوارد في سفر الملوك الأول وسفر أخبار الأيام الأول
wahm_277,ما هو النيتروغليسرين ؟,مادة سائلة زيتية لا لون لها، وهي شديدة الحساسية للصدمات والارتجاج، شديدة الانفجار وهي أساس مركب الديناميت
wahm_278,ما هي مناورة فالين؟,"اختبار تشخيصي لمتلازمة النفق الرسغي, اختبار تشخيصي لمتلازمة النفق الرسغي،[1] اكتشفه طبيب عظام أمريكي يدعى جورج فالين"
wahm_279,ما هي فوائد الصيام ؟,حسية ومعنوية
wahm_280,من ماذا يتكون حجرالرخام؟,الكالسيت النقي جداً
wahm_281,من هو ثروت عكاشة؟,"وزيرا للثقافة ونائب رئيس الوزراء المصري سابقا, كان وزيرا للثقافة ونائب رئيس الوزراء المصري سابقا"
wahm_282,من الشركة التي أنتجت فيلم الكرتون مدغشقر 1؟,دريم ووركس أنيمايشن
wahm_283,ما هي الإسلاموية؟,"مصطلح سياسي وإعلامي وأكاديمي استخدم لتوصيف حركات تغيير سياسية تؤمن بالإسلام باعتباره ""نظاما سياسيا للحكم"", مصطلح سياسي وإعلامي وأكاديمي استخدم لتوصيف حركات تغيير سياسية تؤمن بالإسلام باعتباره ""نظاما سياسيا للحكم""، ويستخدم هذا المصطلح من قبل المجموعات السياسية المناوئة للإسلاميين"
wahm_284,في أي عام تم إنتاج فيلم غلين أو غليندا؟,1953
wahm_285,أين أنشئ مركز جويانا للفضاء؟,"بالقرب من كورو في جويانا الفرنسية على ساحل المحيط الأطلسي بأمريكا الجنوبية, جويانا الفرنسية على ساحل المحيط الأطلسي بأمريكا الجنوبية"
wahm_286,كم تبعد سبيطلة على  مركز ولاية القصرين؟,33 كم
wahm_287,ماهو تعداد سكان إربد ؟,530 ألف نسمة
wahm_288,متى اكتشف الإنسان الزراعة؟,"منذ 10.000 سنة, عصر ما قبل التاريخ"
wahm_289,من أسس علم نظرية الألعاب؟,إيمل بورل
wahm_290,متى أسس ارماني علامته التجارية الخاصة ” جورجو ارماني ”؟,1975
wahm_291,ما هو النَظْم تَحْتَ اليومي؟,"نظم بمدة أطول من مدة النظم اليومي، وهذا يعني تكرارًا أقل من دورة واحدة في 28 ساعة،[1] مثل الطمث أو الحضانة أو المد والجزر أو النُظُم الموسمية, نظم بمدة أطول من مدة النظم اليومي، وهذا يعني تكرارًا أقل من دورة واحدة في 28 ساعة"
wahm_292,كم تبلغ مساحة مدينة ليفربول؟,111.84
wahm_293,من هو عبد الله بن عباس؟,"صحابي جليل، وابن عم النبي محمد، حبر الأمة و<b data-parsoid='{""dsr"":[1691,1703"
wahm_294,ما هي العملة الرسمية في الفلبين ؟,البيزو الفلبيني
wahm_295,ما هو الإسفنج المهبلي؟,إحدى وسائل تحديد النسل
wahm_296,متى تم صناعة اول اطار مطاطي ؟,1889
wahm_297,كم عدد المحافظات في العراق؟,18
wahm_298,متى احتل الاكسوم اليمن؟,533م
wahm_299,متى توفي ألكسندرغراهام بيل؟,أغسطس 1922)
