sample_id,qid,variety,question,gold_answer,answer,human_label,error_type,comments
audit_219,wahm_146,levantine,متى انولد بدر الدين الزركشي؟,745 هـ,وُلد بدر الدين الزركشي سنة **745 هـ**، الموافق تقريبًا **1344 م**.,,,
audit_193,wahm_153,gulf,كم استمر حكم السلطان عبد الحميد الثاني؟,ثلاثين سنة,استمر حكم السلطان عبد الحميد الثاني 33 عامًا، من 1876 حتى 1909، حيث واجه خلال فترة حكمه العديد من التحديات الداخلية والخارجية، بما في ذلك الحركات القومية التي كانت تسعى إلى الاستقلال، مثل الحركة الأرمنية والحركة اليونانية. كما واجه السلطان عبد الحميد الثاني محاولات انقلاب، أبرزها انقلاب 27 أبريل 1909، الذي أدى إلى عزله. وقد تميزت فترة حكمه بالتركيز على تعزيز الوحدة الإسلامية، خاصة في مواجهة التحديات الاستعمارية الأوروبية، كما شهدت فترة حكمه تطورات كبيرة في مجالات التعليم والبنية التحتية، مثل بناء سكة حديد الحجاز، التي كانت تهدف إلى تعزيز الروابط بين مختلف مناطق الدولة العثمانية.,,,
audit_042,wahm_096,gulf,متى تأسس الاتحاد الدولي لكرة القدم؟,21 مايو من العام 1904,تأسس الاتحاد الدولي لكرة القدم **فيفا (FIFA)** في **21 مايو/أيار 1904** في **باريس، فرنسا**.,,,
audit_106,wahm_294,egyptian,إيه هي العملة الرسمية في الفلبين؟,البيزو الفلبيني,"العملة الرسمية في الفلبين هي **البيزو الفلبيني** (Philippine Peso)، ويُرمز إليه بـ **PHP** أو **₱**.

- **الرمز**: ₱ (يُستخدم في المنشورات والمستندات)
- **الرمز الدولي**: PHP
- **القيمة**: ينقسم إلى 100 سنتا (centavo)

البيزو الفلبيني هو العملة الرسمية التي تُستخدم في جميع المعاملات اليومية في الفلبين، سواء في المدن أو المناطق الريفية.",,,
audit_015,wahm_017,egyptian,إيه هي المدينة اللي فيها أكبر مصنع للحديد والصلب في أفريقيا؟,عنابة,"مدينة كومبا للحديد والصلب في جمهورية الكونغو الديمقراطية، واللي بتُعتبر أكبر مصنع للحديد والصلب في أفريقيا. اللي بيُدير المصنع هو شركة ""أنجلو أمريكان""، واللي بتُعتبر واحدة من أكبر شركات التعدين في العالم. المصنع ده بيُعتبر من أهم المشاريع الاقتصادية في الكونغو، وبيُساهم بشكل كبير في الاقتصاد الوطني من خلال توفير فرص عمل كبيرة، بالإضافة إلى دوره في تعزيز الإنتاج الصناعي في البلاد.",,,
audit_128,wahm_031,egyptian,ميكيلانجيلو اتولد فين؟,"قرية كابريزي قرب أريتسو بتوسكانا, كابريزي","ميكيلانجيلو اتولد فين؟
ميكيلانجيلو اتولد فين؟
ميكيلانجيلو اتولد فين؟
ميكيلانجيلو اتولد فين؟
ميكيلانجيلو اتولد فين؟
ميكيلانجيلو اتولد فين؟
ميكيلانجيلو اتولد فين؟
ميكيلانجيلو اتولد فين؟
ميكيلانجيلو اتولد فين؟
ميكيلانجيلو اتولد فين؟
ميكيلانجيلو اتولد فين؟
ميكيلانجيلو اتولد فين؟
ميكيلانجيلو اتولد فين؟
ميكيلانجيلو اتولد فين؟
ميكيلانجيلو اتولد فين؟
ميكيلانجيلو اتولد فين؟
ميكيلانجيلو اتولد فين؟
ميكيلانجيلو اتولد فين؟
ميكيلانجيلو اتولد فين؟
ميكيلانجيلو اتولد فين؟
ميكيلانجيلو اتولد فين؟
ميكيلانجيلو اتولد فين؟
ميكيلانجيلو اتولد فين؟
ميكيلانجيلو اتولد فين؟
ميكيلانجيلو اتولد فين؟
ميكيلانجيلو اتولد فين؟
ميكيلانجيلو اتولد فين؟
ميكيلانجيلو اتولد فين؟
ميكيلانجيلو اتولد فين؟
ميكيلانجيلو اتولد فين؟
ميكيلانجيلو اتولد فين؟
ميكيلانجيلو اتولد فين؟
ميكيلانجيلو اتولد فين؟
ميكيلانجيلو اتولد فين؟
ميكيلانجيلو اتولد فين؟
ميكيلانجيلو اتولد فين؟
ميكيلانجيلو اتولد فين؟
ميكيلانجيلو اتولد فين؟
ميكيلانجيلو اتولد فين؟
ميكيلانجيلو اتولد فين؟
ميكيلانجيلو اتولد فين؟
ميكيلانجيلو اتولد فين؟
ميكيلانجيلو ات",,,
audit_218,wahm_232,levantine,إيمتى استلم محمد جواد ظریف وزارة الخارجية الايرانية؟,"15 أغسطس 2013, أغسطس 2013",استلم محمد جواد ظریف وزارة الخارجية الايرانية في عام 2013م في حكومة الرئيس حسن روحاني، وأعيد تعيينه في ذات المنصب في حكومة الرئيس روحاني الثانية التي بدأت في عام 2017م. وقد شغل ظريف منصب وزير الخارجية في إيران منذ عام 2013م حتى عام 2021م، حيث قدم استقالته في 26 يونيو 2021م، وتم قبولها في اليوم التالي.,,,
audit_129,wahm_103,egyptian,كام عدد المسيحيين الأردنيين؟,"174,000 إلى 390,000 نسمة, من 174,000 إلى 390,000","في عام 2023، يُقدّر عدد المسيحيين الأردنيين بحوالي **150,000 نسمة**، أي ما يقارب **5% من إجمالي سكان الأردن**، الذين يبلغ عددهم حوالي 10 مليون نسمة.

يُعتبر المسيحيون جزءًا من أهل السنة والجماعة في الأردن، وغالبيتهم من الطوائف基督教ية مثل:

- **الكاثوليك** (القديس يوحنا المعمداني)
- **المارونية**
- **الأنطاكية**
- **الغطاسية**
- **الأنبا بارباروسا** (الغطاسية)
- **الأنبا بطرس** (الغطاسية)
- **الأنبا يعقوب** (الغطاسية)

يُعتبر المسيحيون في الأردن جزءًا من المجتمع المدني والثقافي، ويلعبون دورًا مهمًا في الحياة الثقافية والاجتماعية والسياسية في البلاد.

إذا كنت تبحث عن أرقام أكثر دقة أو تفصيلًا عن طوائف معينة، يمكنني مساعدتك في ذلك.",,,
audit_156,wahm_252,msa,من هو قبريانوس القرطاجي؟,كان أسقف قرطاج (منذ عام 249 م) وأبًا وكاتبًا مسيحيًّا,أسقف قرطاجة، وأحد آباء الكنيسة المسيحية الأوائل,,,
audit_250,wahm_078,msa,ماهو عدد مستخدمي خدمة الفيس بوك في الولايات المتحدة ؟,36 مليون,اعتبارًا من آخر تحديثات البيانات المتاحة، بلغ عدد مستخدمي فيسبوك النشطين شهريًا في الولايات المتحدة حوالي 190 مليون مستخدم في عام 2021. يرجى ملاحظة أن هذه الأرقام قد تتغير بمرور الوقت. للحصول على البيانات الأكثر حداثة، يمكنك الرجوع إلى التقارير الرسمية لفيسبوك أو مصادر مستقلة موثوقة.,,,
audit_108,wahm_220,gulf,متى بدت الأزمة الاقتصادية في اليونان؟,أبريل 2010,"الأزمة الاقتصادية في اليونان بدأت في أواخر عام 2009، حيث شهدت البلاد تراجعًا حادًا في النمو الاقتصادي، وزيادة في معدلات البطالة، وتضخمًا في الدين العام. هذا التراجع كان نتيجة لعدة عوامل، منها:

1. **الديون السيادية**: تراكمت الديون على الحكومة اليونانية بشكل كبير، مما أدى إلى أزمة في السيولة المالية.
2. **الركود الاقتصادي**: تراجع النشاط الاقتصادي بشكل ملحوظ، مما أثر سلبًا على الإيرادات الحكومية.
3. **الفساد**: انتشار الفساد في القطاع العام أدى إلى زيادة الإنفاق غير الضروري.
4. **الاعتماد على القروض**: اعتمدت الحكومة اليونانية بشكل كبير على القروض لتمويل العجز المالي، مما زاد من الأعباء المالية.
5. **التضخم**: ارتفعت معدلات التضخم بشكل كبير، مما أثر على القوة الشرائية للمواطنين.

هذه العوامل مجتمعة أدت إلى تفاقم الأزمة الاقتصادية في اليونان، مما استدعى تدخلات دولية لإنقاذ الاقتصاد اليوناني من الانهيار.",,,
audit_091,wahm_213,msa,ما هي الحوزة العلمية؟,لفظ اصطلاحي للمدرسة الفقهية التابعة للمذهب الجعفري,"الحوزة العلمية هي مؤسسة تعليمية دينية شيعية، تقع في مدينة قم بإيران، وهي مركز التعليم الديني الرسمي في إيران، كما أنها مركز التعليم الديني غير الرسمي في العالم الشيعي. تأسست الحوزة في القرن الحادي عشر الهجري، على يد الشيخ الصدوق، الذي كان من كبار علماء الشيعة في ذلك الوقت.

تتكون الحوزة من عدة مراحل تعليمية، تبدأ من مرحلة المقدمات، التي تشمل دراسة العلوم الأساسية مثل النحو والصرف والبلاغة، ثم مرحلة السطوح، التي تشمل دراسة العلوم الشرعية والفقهية، ثم مرحلة البحث الخارج، التي تشمل دراسة المسائل الفقهية والأصولية بشكل أعمق.

تتميز الحوزة العلمية في قم بأنها تعتمد على نظام التعليم التقليدي، حيث يقوم العلماء الكبار بتدريس الطلاب في حلقات دراسية، ويُطلق على هؤلاء العلماء لقب ""آيات الله"". كما أن الحوزة تعتمد على نظام الامتحانات الشفوية، حيث يُختبر الطلاب في معرفتهم بالعلوم الشرعية والفقهية.

تلعب الحوزة العلمية في قم دورًا مهمًا في نشر الفكر الشيعي وتعليم الدين، كما أنها تُعتبر مركزًا رئيسيًا للدراسات الدينية في العالم الشيعي، حيث يأتي إليها الطلاب من مختلف أنحاء العالم لتلقي العلم الشرعي.",,,
audit_053,wahm_021,levantine,شو جنسية الفيلسوف ميشال فوكو؟,فرنسي,ميشال فوكو كان فيلسوفًا فرنسيًا.,,,
audit_035,wahm_246,msa,ما هو الكائن اللاهوائي وكم نوع له؟,الكائن الذي لا يستخدم الأوكسجين للنمو,هو كائن حي لا يستخدم الأكسجين في تنفسه،,,,
audit_210,wahm_294,egyptian,إيه هي العملة الرسمية في الفلبين؟,البيزو الفلبيني,العملة الرسمية في الفلبين هي **البيزو الفلبيني**، ورمزه **PHP**.,,,
audit_100,wahm_025,egyptian,أمتا اتأسس الجيش اليمني؟,1962,"أُسس الجيش اليمني في **الثامن من أبريل عام 1962**، وذلك بعد الثورة اليمنية ضد الملك عبد الله بن يزيد، والتي أسفرت عن إلغاء الملكية وتأسيس الجمهورية اليمنية.

في هذه الفترة، قام الثوار بتشكيل قوات عسكرية منفصلة عن القوات الملكية، وبدأوا ببناء الجيش الجديد الذي يُعرف باسم **الجيش الجمهوري اليمني**. كان هذا الجيش يُعتبر جزءًا من الجبهة الثورية التي قادت الثورة ضد الملكية.

### ملاحظات مهمة:
- **الجيش الجمهوري اليمني** هو الجهة العسكرية التي تشكل أساس الجيش اليمني الحديث.
- في عام 1990، تم دمج جمهورية اليمن الديمقراطية الشعبية (في الشمال) وجمهورية اليمن العربية (في الجنوب) لتشكيل **الجمهورية اليمنية الموحدة**، مما أدى إلى توحيد الجيش تحت اسم **الجيش اليمني**.
- منذ ذلك الحين، شهد الجيش اليمني تغيرات كبيرة، بما في ذلك تدخلات خارجية، وصراعات داخلية، وانقسامات سياسية.

إذا كنت ترغب في معرفة المزيد عن تطور الجيش اليمني في العقود الأخيرة، يمكنني مساعدتك في ذلك أيضًا.",,,
audit_114,wahm_053,egyptian,كام آية في سورة المائدة؟,120,سورة المائدة فيها 120 آية.,,,
audit_130,wahm_135,levantine,شو أصل اللغة المجرية؟,"تنتمي المجرية إلى مجموعة اللغات الأوغرية، وهذه المجموعة تنتمي إلى عائلة اللغات الأورالية, لأوغرية","اللغة المجرية **أصلها من عائلة اللغات الأورالية**، وليست من اللغات الهندوأوروبية مثل معظم لغات أوروبا.

تنتمي تحديدًا إلى الفرع المعروف باسم **الفنلندي‑الأوغري**، ولذلك فهي قريبة من حيث الأصل — لكن بشكل بعيد — من **الفنلندية** و**الإستونية**، وأقرب نسبيًا إلى لغات صغيرة في سيبيريا وغرب الأورال مثل **الخانتية** و**المانسية**.

تاريخيًا، كان أسلاف المجريين، أو **المجريون/المجَر Magyar**، يعيشون في مناطق شرق أوروبا قرب جبال الأورال ونهر الفولغا، ثم هاجروا تدريجيًا إلى حوض الكاربات، أي منطقة المجر الحالية، في أواخر القرن التاسع الميلادي تقريبًا.

رغم أصلها الأورالي، تأثرت المجرية كثيرًا بلغات أخرى بسبب التاريخ والجوار، منها:

- اللغات التركية القديمة  
- اللغات السلافية  
- الألمانية  
- اللاتينية  
- وبعض التأثيرات الرومانية والحديثة

لذلك فالخلاصة: **المجرية لغة أورالية/فنلندية‑أوغرية الأصل، وليست سلافية ولا جرمانية ولا لاتينية، رغم تأثرها بهذه اللغات لاحقًا.**",,,
audit_238,wahm_211,sudanese,منو مؤلفة الرواية الملعونة؟,أمل جرّاح,"الرواية ""الملعونة"" (The Cursed) هي مؤلفة **إيلين داونينغ** (Elinor Wylie)، وهي كاتبة أمريكية من القرن العشرين. تُعتبر من الكُتّاب المُهمين في الأدب الأمريكي الحديث، معروفين بأسلوبهم الأدبي الفريد وتحليلهم للنفس البشرية.

إذا كنت تقصد رواية أخرى بنفس الاسم أو بعنوان مشابه، يُرجى توضيح ذلك لكي أتمكن من مساعدتك بشكل دقيق.",,,
audit_005,wahm_265,levantine,قديش عدد جزر نيوزيلاندا؟,600,نيوزيلاندا فيها ١٤٤ جزيرة. بس معظم الجزر دي صغيرة جداً ومش مأهولة بالسكان. أشهر جزر نيوزيلاندا هي الجزيرة الشمالية والجزيرة الجنوبية، وكمان في جزر كبيرة زي جزيرة ستيوارت (جزيرة ماسون) وجزيرة تشاتام.,,,
audit_144,wahm_159,msa,كم دوري أنجليزي تحصل عليه نادي مانشستر يونايتد لكرة القدم؟,20,"نادي مانشستر يونايتد لكرة القدم، المعروف أيضًا باسم ""الشياطين الحمر""، هو واحد من أكثر الأندية نجاحًا في تاريخ كرة القدم الإنجليزية. وقد فاز بالدوري الإنجليزي الممتاز 13 مرة، مما يجعله النادي الأكثر تتويجًا في تاريخ البطولة.

الدوريات التي فاز بها مانشستر يونايتد في إنجلترا هي:
- الدوري الإنجليزي الممتاز: 13 مرة (1908، 1911، 1952، 1956، 1957، 1965، 1990، 1992، 1993، 1996، 2001، 2007، و2011).

بالإضافة إلى ذلك، فاز مانشستر يونايتد بالعديد من البطولات الأخرى محليًا ودوليًا، مما يجعله واحدًا من أكثر الأندية نجاحًا في تاريخ كرة القدم.",,,
audit_047,wahm_186,msa,ما هو الرادار ؟,"نظام يستخدم موجات كهرومغناطيسية للتعرف على بعد وارتفاع واتجاه وسرعة الأجسام الثابتة والمتحركة, نظام يستخدم موجات كهرومغناطيسية للتعرف على بعد وارتفاع واتجاه وسرعة الأجسام الثابتة والمتحركة كالطائرات، والسفن، والعربات، وحالة الطقس، وشكل التضاريس","الرادار هو اختصار لـ ""الترددات الراديوية للاستشعار عن بعد"". إنه نظام يستخدم موجات الراديو لاكتشاف موقع الأجسام والمسافات والسرعات والاتجاهات. يتم إرسال إشارات راديوية من جهاز إرسال، وتضرب الهدف، ثم تعكس مرة أخرى إلى جهاز استقبال. يستخدم الرادار في مجموعة متنوعة من التطبيقات، بما في ذلك الملاحة الجوية، الدفاع، المراقبة الجوية، والطقس.",,,
audit_065,wahm_282,levantine,أي شركة أنتجت فيلم الكرتون مدغشقر 1؟,دريم ووركس أنيمايشن,"أهلاً وسهلاً! فيلم الكرتون ""مدغشقر"" هو من الأفلام الشهيرة التي أحبها الكثيرون. تم إنتاج الجزء الأول من هذا الفيلم بواسطة شركة دريم ووركس أنيميشن (DreamWorks Animation). هذه الشركة الأمريكية معروفة بإنتاج العديد من الأفلام الكرتونية الناجحة مثل ""شريك"" و""كيف تروض تنينك"". هل تود معرفة المزيد عن فريق العمل أو القصة أو ربما الأجزاء الأخرى من السلسلة؟",,,
audit_069,wahm_196,levantine,مين كان أول رئيس وزراء ببريطانيا؟,"السير روبرت والبول, روبرت والبول","أول رئيس وزراء في بريطانيا كان روبرت والبول، ولكن هذا اللقب لم يكن موجودًا بشكل رسمي في ذلك الوقت. يُعتبر روبرت سيسيل، إيرل سالisbury الأول، أول من شغل منصب ""رئيس الوزراء"" في عام 1721، رغم أن هذا المنصب لم يكن له اسم رسمي حتى عام 1762. ومع ذلك، يُعتبر روبرت والبول، الذي خدم من 1721 إلى 1742، أول من شغل منصب ""رئيس الوزراء"" بشكل فعلي، حتى لو لم يكن اللقب قد تم تعيينه رسمياً بعد. لكن يُعتبر روبرت سيسيل، إيرل سالisbury الأول، أول من شغل منصب ""رئيس الوزراء"" بشكل رسمي في عام 1721.

**توضيح:**

* **روبرت والبول (1721-1742):** يُعتبر والبول أول من شغل منصب ""رئيس الوزراء"" بشكل فعلي، رغم أن اللقب لم يكن رسمياً بعد. كان والبول مستشاراً للخزانة، وهو المنصب الذي كان يشبه إلى حد كبير منصب رئيس الوزراء الحديث.
* **روبرت سيسيل، إيرل سالisbury الأول (1721-1722):** يُعتبر سيسيل أول من شغل منصب ""رئيس الوزراء"" بشكل رسمي، رغم أنه شغل المنصب لفترة قصيرة فقط. كان سيسيل مستشاراً للخزانة، ولكن تم تعيينه رسمياً كـ ""رئيس الوزراء"" في عام 1721.

**لذلك، يمكن القول إن روبرت والبول هو أول من شغل منصب ""رئيس الوزراء"" بشكل فعلي، بينما روبرت سيسيل، إيرل سالisbury الأول، هو أول من شغل المنصب رسمياً.**

ومع ذلك، من المهم ملاحظة أن مصطلح ""رئيس الوزراء"" لم يكن موجوداً بشكل رسمي حتى عام 1762. قبل ذلك، كان الوزراء الرئيسيون يُعرفون بمصطلحات مختلفة، مثل ""مستشار الخزانة"" أو ""رئيس الوزراء"".

**لذلك، فإن الإجابة الأكثر دقة هي أن روبرت والبول هو أول من شغل منصب ""رئيس الوزراء"" بشكل فعلي، بينما روبرت سيسيل، إيرل سال",,,
audit_176,wahm_099,egyptian,يعني إيه اسم داوود؟,"الحبيب, اسم علم شخصي عربي من أصل عبري، ويعتبر من الأسماء المنتشرة في العالم العربي نسباً لأنه اسم داود أحد الأنبياء في الإسلام والمسيحية واليهودية وألذي يعني الحبيب، ولهذا الاسم أشكال مختلفة في اللغات الأخرى مثل ديفيد وديف ودايفي وداودا",اسم داوود في اللغة العبرية يعني المحبوب أو الحبيب، وهو اسم نبي الله داوود عليه السلام في الإسلام، الذي ذُكر في القرآن الكريم. ويُعتبر داوود عليه السلام من الأنبياء الذين أُعطوا الملك والنبوة، وله مكانة عظيمة في الإسلام.,,,
audit_211,wahm_222,sudanese,مدينة بافيا موجودة وين؟,"شمال إيطاليا في إقليم لومبارديا, إقليم لومبارديا",مدينة **بافيا (Pavia)** موجودة في **شمال إيطاليا**، ضمن إقليم **لومبارديا (Lombardy)**، وتقع تقريبًا جنوب مدينة **ميلانو** بحوالي 35 كم، على نهر **تيتشينو**.,,,
audit_074,wahm_270,sudanese,نادي ليون الفرنسي اتأسس متين؟,1950,نادي أولمبيك ليون الفرنسي تأسس في 3 أغسطس 1950.,,,
audit_036,wahm_121,gulf,متى انعملت معاهدة الحد من انتشار الأسلحة النووية؟,1 يوليو 1968,"معاهدة الحد من انتشار الأسلحة النووية، والمعروفة أيضًا باسم معاهدة عدم الانتشار، تم توقيعها في عام 1968. دخلت حيز التنفيذ في عام 1970، وهي واحدة من أهم الاتفاقيات الدولية في مجال نزع السلاح النووي ومنع انتشاره. تهدف المعاهدة إلى منع انتشار الأسلحة النووية وتعزيز التعاون في الاستخدامات السلمية للطاقة النووية.

المملكة العربية السعودية، التي تلتزم بالقيم الإسلامية التي تدعو إلى السلام والعدالة، تدعم الجهود الدولية الرامية إلى نزع السلاح النووي ومنع انتشاره. المملكة تؤكد على أهمية تحقيق الأمن والاستقرار الدوليين من خلال الالتزام بالمعاهدات الدولية، بما في ذلك معاهدة الحد من انتشار الأسلحة النووية، التي تسعى إلى عالم خالٍ من الأسلحة النووية.

من خلال هذه المعاهدة، تسعى المملكة إلى تعزيز السلام العالمي وتحقيق التنمية المستدامة، بما يتماشى مع تعاليم الدين الإسلامي التي تدعو إلى التعاون والعدالة.",,,
audit_011,wahm_282,sudanese,شنو الشركة الأنتجت فيلم الكرتون مدغشقر 1؟,دريم ووركس أنيمايشن,دريم ووركس أنيميشن,,,
audit_201,wahm_125,sudanese,في سنة كم عبد الفتاح السيسي مسك الحكم في مصر؟,2014,"في سنة كم عبد الفتاح السيسي مسك الحكم في مصر؟
في سنة كم عبد الفتاح السيسي مسك الحكم في مصر؟
في سنة كم عبد الفتاح السيسي مسك الحكم في مصر؟
في سنة كم عبد الفتاح السيسي مسك الحكم في مصر؟
في سنة كم عبد الفتاح السيسي مسك الحكم في مصر؟
في سنة كم عبد الفتاح السيسي مسك الحكم في مصر؟
في سنة كم عبد الفتاح السيسي مسك الحكم في مصر؟
في سنة كم عبد الفتاح السيسي مسك الحكم في مصر؟
في سنة كم عبد الفتاح السيسي مسك الحكم في مصر؟
في سنة كم عبد الفتاح السيسي مسك الحكم في مصر؟
في سنة كم عبد الفتاح السيسي مسك الحكم في مصر؟
في سنة كم عبد الفتاح السيسي مسك الحكم في مصر؟
في سنة كم عبد الفتاح السيسي مسك الحكم في مصر؟
في سنة كم عبد الفتاح السيسي مسك الحكم في مصر؟
في سنة كم عبد الفتاح السيسي مسك الحكم في مصر؟
في سنة كم عبد الفتاح السيسي مسك الحكم في مصر؟
في سنة كم عبد الفتاح السيسي مسك الحكم في مصر؟
في سنة كم عبد الفتاح السيسي مسك الحكم في مصر؟
في سنة كم عبد الفتاح السيسي مسك الحكم في مصر؟
في سنة كم عبد الفتاح السيسي مسك الحكم في مصر؟
في سنة كم عبد الفتاح السيسي مسك الحكم في مصر؟
في سنة كم عبد الفتاح السيسي مسك الحكم في مصر؟
في سنة كم عبد الفتاح السيسي مسك الحكم في مصر؟
في سنة كم عبد الفتاح السيسي مسك الحكم في مصر؟
في سنة كم عبد الفتاح السيسي مسك الحكم في مصر؟
في سنة كم عبد الفتاح السيسي مسك الحكم في مصر؟
في سنة كم عبد الفتاح السيسي مسك الحكم في مصر؟
في سنة كم عبد الفتاح السيسي مسك الحكم في مصر؟
في سنة كم عبد الفتاح السيسي مسك الحكم في مصر؟
في سنة كم عبد الفتاح السيسي مسك الحكم في مصر؟
في سنة كم عبد الفتاح السيسي مسك الحكم في مصر؟
في سنة كم عبد الفتاح السيسي مسك الحكم في مصر؟
في سنة كم عبد الفتاح السيسي مسك الحكم في مصر؟
في سنة كم عبد الفتاح السيسي مسك الحكم في مصر؟
في",,,
audit_045,wahm_228,sudanese,شنو هي الأصول غير الملموسة؟,أحد العوامل المساهمة في تحديد التفاوت بين قيمة الشركة حسب السجلات المحاسبية الخاصة بها وقيمة الشركة حسب قيمتها السوقية,"الأصول غير الملموسة هي ممتلكات عند الشركة **ما عندهاش وجود مادي** (ما تقدرش تلمسها)، ولكن عندها **قيمة اقتصادية** وكتعاون الشركة تجيب مداخيل أو تقوّي مكانتها.

أمثلة عليها:

- **العلامة التجارية**: بحال اسم أو لوغو مشهور.
- **براءات الاختراع**: اختراع محمي قانونياً.
- **حقوق النشر**: كتب، موسيقى، برامج، محتوى.
- **البرمجيات**: تطبيقات أو أنظمة طوّرتها الشركة.
- **الرخص والامتيازات**: رخصة استغلال، Franchise.
- **قواعد بيانات العملاء**.
- **الشهرة التجارية Goodwill**: القيمة الزائدة المرتبطة بسمعة الشركة وعلاقاتها.

مثال بسيط:  
شركة بحال “Coca-Cola” عندها مصانع وآلات، هادو أصول ملموسة. ولكن الاسم التجاري والسمعة والوصفة والعلامة التجارية هادو **أصول غير ملموسة** وقد تكون قيمتها أكبر من الآلات نفسها.

في المحاسبة، الأصل غير الملموس كيتسجل غالباً إلا كان:
1. قابل للتحديد والقياس،
2. الشركة كتتحكم فيه،
3. متوقع يجيب منافع اقتصادية في المستقبل.",,,
audit_246,wahm_014,gulf,وين انولد صدام حسين؟,قرية العوجة,صدام حسين المجيد وُلِد في قرية العوجة، التي تقع في مدينة تكريت في محافظة صلاح الدين شمال العراق. صدام حسين كان الرئيس الرابع للعراق من عام 1979 حتى عام 2003، وقد لعب دورًا كبيرًا في السياسة العراقية والعربية خلال فترة حكمه.,,,
audit_205,wahm_247,msa,أين تقع مدينة تل جوخة ؟,مدينة عراقية,تقع مدينة تل جوخة في محافظة إدلب، شمال غرب سوريا. وهي معروفة بتاريخها القديم وتلالها الأثرية.,,,
audit_057,wahm_297,sudanese,العراق فيها كم محافظة؟,18,العراق فيه 19 محافظة، وهي: بغداد، البصرة، كربلاء، كركوك، المثنى، ميسان، ذي قار، واسط، الأنبار، بابل، بغداد، ديالى، دهوك، أربيل، السليمانية، صلاح الدين، كركوك، كربلاء، المثنى، ونينوى. العراق فيه أيضًا إقليم كردستان اللي فيه 3 محافظات، وهي: أربيل، السليمانية، ودهوك.,,,
audit_107,wahm_266,sudanese,جيمس مونرو منو؟,"خامس رؤساء الولايات المتحدة, خامس رؤساء الولايات المتحدة من 1817 إلى 1825 ورجل دولة وأحد الآباء المؤسسون","جيمس مونرو هو **خامس رئيس للولايات المتحدة الأمريكية**، حكم من **1817 إلى 1825**.

أهم ما يُعرف به:

- كان من الآباء المؤسسين للولايات المتحدة.
- خدم في حرب الاستقلال الأمريكية.
- كان حاكمًا لولاية فرجينيا ووزيرًا للخارجية ووزيرًا للحرب.
- اشتهر بـ **مبدأ مونرو** عام 1823، وهو سياسة أمريكية تقول إن أوروبا لا يجب أن تتدخل في شؤون دول الأمريكتين.
- فترة رئاسته تُسمّى أحيانًا **عصر المشاعر الطيبة** بسبب الهدوء السياسي النسبي داخل أمريكا آنذاك.

وُلد سنة **1758** وتوفي سنة **1831**.",,,
audit_118,wahm_213,gulf,وش هي الحوزة العلمية؟,لفظ اصطلاحي للمدرسة الفقهية التابعة للمذهب الجعفري,الحوزة العلمية هي مؤسسة دينية علمية، تأسست في النجف الأشرف، وتقوم بتدريس العلوم الدينية، وتخريج العلماء، وتتبع المذهب الجعفري، وتعتمد على المنهج الدراسي الذي وضعته مدرسة أهل البيت عليهم السلام، وتعتمد على المصادر والمراجع التي وضعها علماء أهل البيت عليهم السلام، وتعتمد على المنهج الدراسي الذي وضعته مدرسة أهل البيت عليهم السلام، وتعتمد على المصادر والمراجع التي وضعها علماء أهل البيت عليهم السلام، وتعتمد على المنهج الدراسي الذي وضعته مدرسة أهل البيت عليهم السلام، وتعتمد على المصادر والمراجع التي وضعها علماء أهل البيت عليهم السلام، وتعتمد على المنهج الدراسي الذي وضعته مدرسة أهل البيت عليهم السلام، وتعتمد على المصادر والمراجع التي وضعها علماء أهل البيت عليهم السلام، وتعتمد على المنهج الدراسي الذي وضعته مدرسة أهل البيت عليهم السلام، وتعتمد على المصادر والمراجع التي وضعها علماء أهل البيت عليهم السلام، وتعتمد على المنهج الدراسي الذي وضعته مدرسة أهل البيت عليهم السلام، وتعتمد على المصادر والمراجع التي وضعها علماء أهل البيت عليهم السلام، وتعتمد على المنهج الدراسي الذي وضعته مدرسة أهل البيت عليهم السلام، وتعتمد على المصادر والمراجع التي وضعها علماء أهل البيت عليهم السلام، وتعتمد على المنهج الدراسي الذي وضعته مدرسة أهل البيت عليهم السلام، وتعتمد على المصادر والمراجع التي وضعها علماء أهل البيت عليهم السلام، وتعتمد على المنهج الدراسي الذي وضعته مدرسة أهل البيت عليهم السلام، وتعتمد على المصادر والمراجع التي وضعها علماء أهل البيت عليهم السلام، وتعتمد على المنهج الدراسي الذي وضعته مدرسة أهل البيت عليهم السلام، وتعتمد على المصادر والمراجع التي وضعها علماء أهل البيت عليهم السلام، وتعتمد على المنهج الدراسي الذي وضعته مدرسة أهل البيت عليهم السلام، وتعتمد على المصادر والمراجع التي وضعها علماء أهل البيت عليهم السلام، وتعتمد على المنهج الدراسي الذي وضعته مدرسة أهل البيت عليهم السلام، وتعتمد على المصادر والمراجع التي وضعها علماء أهل البيت عليهم السلام، وتعتمد على المنهج الدراسي الذي وضعته مدرسة أهل البيت,,,
